Id,Date,Transaction
285,8/4,-900.51
286,9/1,+683.14
287,8/3,-417.32
288,3/17,-244.24
289,4/8,+92.02
290,4/15,-577.18
291,6/19,+251.11
292,9/8,+557.51
293,6/8,+816.7
294,9/15,-791.6
295,7/4,+607.49
296,7/8,-513.64
297,1/7,+677.28
298,11/18,+873.32
299,9/8,+632.75
300,3/10,-886.36
301,9/19,+530.75
302,9/18,-237.72
303,1/16,+132.57
304,2/18,-188.67
305,4/6,+958.68
306,10/5,+56.49
307,2/10,-476.34
308,3/13,+14.15
309,9/2,+730.53
310,4/12,-414.84
311,7/8,-560.75
312,2/19,-585.87
313,2/1,+198.64
314,9/5,-413.98
315,2/16,-303.16
316,8/16,-275.57
317,7/12,+848.82
318,4/8,-335.39
319,7/16,-991.94
320,3/9,+526.41
321,4/15,+562.11
322,4/13,-820.67
323,8/6,-474.9
324,4/11,+702.41
325,5/14,-864.92
326,3/13,+560.63
327,2/9,+414.84
328,6/11,+117.41
329,11/18,+323.56
330,6/5,-765.36
331,6/3,-706.78
332,5/9,+776.25
333,9/10,+228.69
334,2/17,-709.98
335,3/11,-649.23
336,9/17,+52.28
337,7/5,+198.86
338,9/3,-500.79
339,10/13,+484.83
340,6/14,+131.42
341,6/19,-509.77
342,4/15,-443.46
343,9/7,-970.74
344,3/18,+984.03
345,7/8,-555.35
346,4/1,+887.03
347,6/16,-586.59
348,9/18,-629.51
349,8/16,+276.1
350,9/14,-744.7
351,9/6,+317.24
352,11/17,+821.63
353,11/12,-692.18
354,9/11,+788.31
355,4/15,-393.91
356,1/12,-502.74
357,9/14,-641.17
358,6/8,+415.65
359,2/8,+594.84
360,9/3,+846.95
361,7/17,+996.6
362,10/12,-676.65
363,4/1,-253.8
364,7/12,+798.85
365,9/15,-406.75
366,2/19,-941.66
367,2/11,+989.97
368,10/14,-906.42
369,7/9,-260.56
370,9/6,-599.57
371,5/17,-399.63
372,4/4,-158.33
373,10/4,-654.79
374,8/5,+693.82
375,10/8,+567.71
376,3/9,-222.04
377,3/8,+494.97
378,1/13,-374.28
379,11/8,-302.48
380,2/9,-843.9
381,6/16,+183.97
382,7/7,-231.04
383,10/18,+567.28
384,11/17,+639.41
385,9/18,-254.32
386,3/12,+25.16
387,1/19,-732.1
388,6/5,+772.81
389,5/16,-915.98
390,6/14,-982.09
391,4/19,+467.13
392,10/9,+567.82
393,10/4,+774.27
394,2/3,+672.24
395,9/16,+543.48
396,2/18,-841.83
397,11/16,-435.74
398,7/12,-337.74
399,3/9,+934.98
400,10/4,-851.48
401,4/13,-480.13
402,11/18,+874.25
403,9/1,+287.56
404,2/9,+388.65
405,11/13,+631.03
406,6/12,+916.56
407,4/6,+974.17
408,10/3,-884.85
409,4/19,+78.55
410,1/10,+869.5
411,9/3,+495.88
412,2/13,-451.54
413,1/19,+973.45
414,10/14,+152.26
415,9/17,-491.77
416,1/12,-834.96
417,7/7,+134.5
418,4/8,+210.21
419,10/10,-68.36
420,4/1,-37.13
421,4/15,+252.33
422,7/16,+524.87
423,3/12,-997.59
424,6/14,-765.38
425,1/14,-687.59
426,4/4,+274.95
427,3/5,+719.89
428,10/19,-366.33
429,2/9,-722.08
430,2/15,+150.5
431,3/1,-731.71
432,4/13,+942.53
433,6/11,+357.78
434,5/18,+883.21
435,2/19,-316.68
436,10/13,-967.17
437,8/2,+417.5
438,1/15,+676.45
439,9/8,-439.29
440,5/12,-583.2
441,11/6,+80.17
442,4/11,-949.96
443,2/2,-62.9
444,9/2,-53.67
445,6/6,-226.82
446,6/13,-997.46
447,10/8,+281.05
448,9/10,+172.63
449,11/2,+743.04
450,11/10,-629.69
451,3/12,-513.9
452,8/8,+163.61
453,9/13,+144.44
454,8/14,-20.63
455,9/2,+780.57
456,3/16,+692.27
457,11/13,+308.68
458,8/17,+505.77
459,2/5,+785.5
460,9/3,-288.65
461,7/16,-677.8
462,2/19,-45.53
463,5/19,-285.61
464,4/10,-775.43
465,2/11,-690.09
466,6/8,-122.7
467,9/15,+281.5
468,10/9,-470.72
469,1/7,-258.47
470,3/16,-246.99
471,2/4,-901.83
472,2/17,-432.64
473,11/11,-96.6
474,9/13,+525.87
475,4/3,+397.08
476,9/2,-555.5
477,1/11,-985.32
478,2/3,+404.67
479,7/19,+476.21
480,4/18,+164.58
481,7/4,-723.51
482,8/18,-852.18
483,6/8,+530.18
484,1/9,+523.13
485,2/11,+615.49
486,1/7,-257.63
487,2/5,+457.46
488,8/8,-405.23
489,10/13,-81.19
490,2/7,-751.52
491,2/8,-959.23
492,8/13,-59.38
493,8/9,+519.23
494,3/4,+935.21
495,6/19,+686.79
496,3/11,-965.01
497,8/3,-411.34
498,2/13,+739.78
499,2/19,-639.06
500,5/15,+932.15
501,3/6,+99.97
502,3/8,-149.37
503,10/16,-86.72
504,8/10,+561.74
505,2/5,+302.38
506,3/3,+339.9
507,1/14,+121.12
508,5/14,-411.12
509,11/10,-778.21
510,1/18,+697.94
511,1/9,+297.6
512,6/15,+579.98
513,7/8,+913.01
514,6/15,+506.56
515,7/9,+904.15
516,3/13,-10.9
517,4/1,-947.73
518,4/18,+118.51
519,10/5,-244.37
520,3/3,+609.61
521,5/14,-987.02
522,3/17,+1.41
523,5/9,+55.47
524,9/19,+86.64
525,7/17,-755.13
526,10/10,-190.56
527,10/18,-674.86
528,9/11,-28.49
529,3/4,-513.55
530,6/12,-245.22
531,7/7,+58.39
532,9/15,+351.85
533,5/7,-39.03
534,11/19,+477.54
535,3/16,+434.16
536,3/15,-407.24
537,11/11,-991.46
538,4/11,-80.82
539,4/1,-268.05
540,3/11,+922.4
541,4/11,+511.74
542,1/19,-222.92
543,1/17,-495.63
544,9/5,+898.41
545,9/9,-178.26
546,4/14,-512.78
547,5/19,-328.11
548,4/5,-949.66
549,3/19,+761.13
550,1/17,-612.69
551,2/14,+937.72
552,7/7,+105.33
553,3/17,-750.38
554,5/17,-36.81
555,7/7,-264.84
556,9/15,+618.22
557,10/18,-480.18
558,7/18,-371.8
559,4/17,-139.07
560,10/10,-834.94
561,4/17,-246.92
562,6/18,-822.02
563,3/1,+281.5
564,3/9,-370.51
565,7/12,+677.49
566,5/15,-963.59
567,9/13,+581.27
568,1/3,-895.88
569,1/5,-956.0
570,10/14,-939.6
571,11/14,+715.34
572,3/9,-478.08
573,6/1,+690.79
574,11/8,+716.74
575,4/12,+149.05
576,10/5,-168.0
577,3/4,+118.42
578,6/6,-339.36
579,10/6,-691.01
580,2/4,+1.86
581,4/16,+425.49
582,1/5,-621.56
583,7/10,-514.04
584,9/4,-930.04
585,7/6,-957.14
586,3/3,-1.63
587,2/6,-710.22
588,8/15,-982.36
589,5/5,+624.54
590,3/9,+953.72
591,8/18,+868.79
592,8/15,-466.19
593,10/14,-149.06
594,10/15,+559.65
595,10/3,-299.35
596,4/1,-618.74
597,10/5,-295.66
598,3/10,-683.32
599,2/4,+634.55
600,8/12,+587.03
601,10/3,+207.51
602,11/2,+611.26
603,5/1,+169.91
604,11/19,+579.35
605,8/2,-947.48
606,6/2,-925.36
607,11/8,-542.13
608,3/18,+737.82
609,5/8,+237.16
610,1/5,+767.81
611,6/3,-423.98
612,10/6,-761.2
613,11/4,-121.83
614,7/19,+710.15
615,7/6,+385.82
616,2/3,+51.7
617,10/1,-909.23
618,2/13,+455.19
619,6/15,+418.59
620,7/16,+67.69
621,2/12,-52.01
622,5/18,-325.69
623,8/11,+546.59
624,4/17,-228.16
625,8/8,+372.64
626,8/7,-335.39
627,6/9,-913.89
628,9/10,-620.12
629,1/18,-682.1
630,7/7,-444.09
631,5/13,-436.49
632,10/4,+668.99
633,3/19,-244.12
634,4/7,+403.11
635,6/12,+219.65
636,4/7,+716.77
637,6/17,-514.86
638,9/3,+590.7
639,2/8,-654.01
640,4/1,+691.97
641,10/8,+146.38
642,4/9,+93.81
643,4/13,-188.85
644,3/1,-655.82
645,11/14,-331.77
646,11/17,-428.0
647,2/5,-987.83
648,6/7,+118.79
649,1/7,+290.84
650,9/1,-540.26
651,10/18,-750.91
652,10/7,+727.98
653,10/12,+103.86
654,6/5,-346.99
655,11/6,+264.15
656,9/6,+374.91
657,9/13,+645.76
658,7/4,+268.98
659,7/6,+136.41
660,11/7,-422.55
661,11/8,+596.33
662,1/2,-784.22
663,7/14,-362.74
664,8/14,+905.15
665,5/10,-552.6
666,8/3,+786.13
667,10/17,-322.88
668,1/4,+366.25
669,7/16,+910.43
670,6/18,+945.56
671,2/12,-411.18
672,1/14,-323.73
673,6/16,+526.61
674,4/14,-147.26
675,3/18,-255.11
676,4/12,-416.48
677,11/9,+74.03
678,6/5,+290.57
679,2/16,+820.8
680,3/10,+346.25
681,7/17,-493.83
682,5/6,+267.07
683,11/1,-485.53
684,5/7,-693.57
685,5/18,+739.47
686,10/9,+427.23
687,4/3,+896.13
688,2/13,-498.85
689,6/12,+341.48
690,4/7,+327.36
691,2/1,-444.17
692,11/7,+829.1
693,5/19,-81.82
694,7/7,+726.89
695,6/13,-729.25
696,11/19,-684.53
697,5/16,+993.35
698,1/4,+209.28
699,5/5,+471.46
700,5/4,-193.08
701,3/2,+686.13
702,10/5,-181.78
703,11/7,+82.03
704,6/6,+311.55
705,6/16,+794.78
706,1/6,-194.05
707,11/6,+491.9
708,7/8,-837.75
709,5/5,+159.34
710,11/13,-921.27
711,3/3,+955.37
712,11/3,+704.73
713,10/3,-507.44
714,10/6,-13.96
715,5/10,-136.05
716,9/7,-215.45
717,6/18,+409.04
718,2/11,-338.41
719,8/15,-332.4
720,7/10,+493.42
721,3/17,-366.32
722,5/7,-401.41
723,4/7,-883.9
724,8/3,+965.17
725,8/9,+37.87
726,11/16,+895.62
727,5/10,+995.94
728,7/12,-742.82
729,11/3,-565.46
730,6/8,+938.01
731,10/18,+140.18
732,5/11,-591.08
733,9/11,+158.68
734,3/13,-305.65
735,11/6,-507.23
736,9/13,+137.88
737,6/9,+206.37
738,3/8,+65.93
739,10/13,+95.57
740,6/4,+533.63
741,1/9,+863.93
742,11/2,-173.91
743,9/1,+827.55
744,1/7,+546.09
745,11/7,+934.48
746,1/1,-160.32
747,9/6,-126.92
748,11/17,+806.13
749,5/14,+97.85
750,7/11,+880.35
751,4/18,-665.1
752,4/1,+1.58
753,9/13,-474.69
754,10/17,+353.96
755,8/15,-305.28
756,2/1,+497.19
757,5/8,+550.64
758,9/18,+673.38
759,9/5,-123.61
760,3/16,-69.59
761,3/11,-502.06
762,6/16,-91.42
763,7/2,-933.87
764,11/18,-592.82
765,9/4,-300.22
766,10/11,-349.72
767,4/6,-925.79
768,6/14,+81.8
769,4/9,+481.58
770,1/14,+639.95
771,4/4,-775.99
772,7/13,-292.41
773,4/11,-183.05
774,4/14,+892.78
775,1/19,-799.36
776,8/10,+262.37
777,6/17,-438.96
778,10/15,-369.32
779,9/14,+485.05
780,6/1,+982.45
781,8/5,+560.16
782,1/12,-298.62
783,7/19,-781.66
784,8/9,+684.52
785,1/16,-129.35
786,4/11,+842.92
787,2/8,-931.07
788,3/6,+887.73
789,5/3,+594.89
790,9/13,-978.98
791,6/16,-280.03
792,7/17,-87.83
793,11/18,+512.97
794,6/12,-949.74
795,5/5,-889.55
796,11/18,+705.05
797,9/5,-703.62
798,10/17,-502.57
799,4/3,+361.47
800,3/15,+864.46
801,6/2,-910.62
802,11/19,+940.03
803,9/16,+402.4
804,9/18,+289.75
805,3/16,-862.11
806,11/1,-799.72
807,8/17,+707.18
808,8/2,+567.47
809,3/16,+275.5
810,10/12,-983.17
811,3/15,-126.9
812,6/18,-445.84
813,6/6,-842.9
814,6/6,-765.86
815,1/10,+843.83
816,1/13,-552.12
817,2/15,+507.53
818,2/7,-877.03
819,2/3,-760.11
820,8/7,+806.89
821,1/6,-830.0
822,11/16,+698.34
823,10/19,-675.16
824,6/16,-712.38
825,5/18,-533.37
826,4/4,-816.48
827,9/5,+62.96
828,11/17,-234.33
829,4/13,+90.42
830,4/7,-422.16
831,3/12,-50.82
832,6/15,-51.31
833,10/6,-744.67
834,10/7,+685.19
835,2/12,+600.36
836,6/15,-517.61
837,6/7,+994.24
838,8/10,+186.65
839,11/19,+142.51
840,9/7,-76.03
841,7/18,-942.28
842,10/18,+255.87
843,5/14,-262.09
844,1/13,-76.88
845,9/18,-464.31
846,5/16,+3.96
847,5/14,-900.06
848,9/15,-999.48
849,9/7,+281.14
850,8/7,+836.55
851,2/1,-725.14
852,5/7,+578.15
853,3/16,-170.95
854,6/7,+126.58
855,6/18,-927.22
856,7/5,-17.99
857,1/3,+339.31
858,10/4,+90.24
859,9/18,+454.45
860,3/14,+396.25
861,11/3,+902.6
862,3/7,+928.16
863,11/4,+391.64
864,11/19,+516.95
865,10/15,+140.08
866,6/19,-159.41
867,9/7,+679.98
868,3/10,+232.53
869,9/16,-149.04
870,2/19,+173.97
871,2/1,-722.2
872,9/14,-533.36
873,6/8,-112.86
874,1/2,+490.8
875,4/7,+160.92
876,2/4,+637.96
877,1/3,-46.19
878,5/15,+32.74
879,8/10,-354.39
880,5/8,-756.49
881,9/9,-134.49
882,1/12,-226.9
883,11/16,+294.88
884,7/9,+87.25
885,6/10,+389.1
886,4/6,-552.59
887,4/6,-953.77
888,5/18,+357.66
889,3/11,-29.31
890,2/2,+871.82
891,9/17,-432.71
892,6/19,-375.96
893,3/15,+784.57
894,9/2,-683.81
895,4/9,-556.4
896,7/9,+70.89
897,4/9,-417.48
898,4/16,+760.74
899,8/7,+261.07
900,1/17,+619.26
901,5/10,+897.12
902,10/17,-63.11
903,4/5,+565.71
904,8/1,-831.33
905,1/5,+53.27
906,9/4,-348.36
907,4/15,-583.0
908,4/15,-613.4
909,1/6,+855.32
910,11/7,+807.45
911,9/16,+413.18
912,6/11,+917.18
913,10/3,+157.54
914,2/1,+934.45
915,4/9,+713.46
916,5/7,-734.73
917,8/11,+941.42
918,7/17,+820.91
919,8/7,-562.63
920,3/9,+554.88
921,4/2,-84.29
922,3/6,-878.29
923,2/9,-89.22
924,3/19,-881.03
925,4/3,-190.05
926,10/13,+28.44
927,8/17,-731.71
928,8/18,+934.53
929,1/13,+979.22
930,5/1,+240.29
931,2/7,+920.76
932,11/16,-21.14
933,7/8,-319.07
934,11/18,-241.66
935,9/17,-978.89
936,3/17,-299.91
937,5/9,-790.86
938,7/12,-178.8
939,10/18,-639.14
940,3/14,+800.54
941,9/13,-850.5
942,2/16,+363.75
943,1/1,-679.67
944,6/13,-470.88
945,3/11,-581.2
946,5/10,+704.51
947,4/15,-519.52
948,7/8,-505.49
949,3/5,+742.23
950,11/9,-745.52
951,6/6,+845.28
952,11/10,-291.54
953,10/9,-860.04
954,4/12,+112.69
955,6/10,-691.38
956,11/4,-611.81
957,11/8,-633.67
958,9/7,+893.07
959,5/17,-943.19
960,2/13,-561.29
961,1/15,-372.35
962,6/19,+208.91
963,4/14,+777.32
964,11/3,+415.39
965,6/2,+666.06
966,5/3,+816.92
967,3/4,-440.24
968,1/8,+937.14
969,10/7,+93.76
970,5/13,-567.08
971,11/4,+651.08
972,11/9,-14.67
973,8/9,-497.39
974,7/18,-19.69
975,4/3,+337.1
976,10/9,+725.74
977,3/9,+493.92
978,1/7,-612.55
979,3/2,+400.0
980,1/2,-911.55
981,2/7,+673.13
982,7/7,+491.7
983,9/6,+712.25
984,4/2,-3.12
985,9/8,-86.66
986,11/14,+409.07
987,7/4,-872.27
988,7/6,-957.87
989,8/17,+354.86
990,9/18,+45.04
991,11/4,+696.58
992,1/13,+479.42
993,2/11,-647.36
994,6/14,+407.05
995,11/15,+223.81
996,1/1,-944.27
997,2/9,-280.4
998,10/8,-406.46
999,7/1,+528.97
1000,5/18,+711.41
1001,9/12,+247.86
1002,6/6,+914.73
1003,6/15,-725.35
1004,6/3,-838.41
1005,8/14,+28.85
1006,2/9,-90.09
1007,4/12,+505.54
1008,8/5,+413.28
1009,9/6,-983.68
1010,4/13,+751.73
1011,9/8,-508.91
1012,11/1,-900.4
1013,5/10,-589.8
1014,1/6,-860.62
1015,8/1,+56.18
1016,1/12,+710.49
1017,5/19,+94.74
1018,6/12,+976.88
1019,11/12,-134.1
1020,7/6,+616.45
1021,1/17,-544.71
1022,8/11,+182.58
1023,4/11,-742.69
1024,3/16,+263.57
1025,9/1,-195.02
1026,6/13,-781.99
1027,7/4,+120.09
1028,11/10,+989.17
1029,1/5,+257.57
1030,2/7,+207.31
1031,5/11,+402.92
1032,9/1,-963.27
1033,11/2,-83.11
1034,1/16,+166.94
1035,7/1,+503.69
1036,11/15,-291.04
1037,7/11,+726.31
1038,1/13,-577.6
1039,11/11,-250.78
1040,1/13,+455.31
1041,1/9,-595.61
1042,1/6,-273.58
1043,10/3,+70.54
1044,7/11,-694.77
1045,8/2,-49.29
1046,3/17,-318.2
1047,3/18,+600.04
1048,9/4,-93.45
1049,4/2,+821.48
1050,5/9,-10.61
1051,5/17,+78.12
1052,9/2,+945.36
1053,7/10,+954.25
1054,2/16,+89.98
1055,9/1,-36.92
1056,4/17,+891.0
1057,9/8,+835.19
1058,6/12,-273.76
1059,1/14,-712.37
1060,1/12,-709.03
1061,7/14,+952.33
1062,2/1,-895.11
1063,6/16,-753.59
1064,10/3,-600.05
1065,11/12,+22.94
1066,4/8,+55.13
1067,5/3,-367.28
1068,4/11,-481.95
1069,6/4,+738.78
1070,7/7,-902.32
1071,10/17,+571.4
1072,2/4,-1.14
1073,2/15,+703.14
1074,2/16,+770.89
1075,7/1,-299.21
1076,7/7,-866.23
1077,6/16,+738.85
1078,4/18,+394.69
1079,3/12,+626.64
1080,9/18,-67.95
1081,7/5,-167.07
1082,1/6,+740.28
1083,8/16,+769.72
1084,5/17,+258.45
1085,11/5,+20.44
1086,7/19,-90.89
1087,8/19,-151.68
1088,1/9,-766.82
1089,7/8,-617.09
1090,10/4,-513.96
1091,5/1,-168.53
1092,9/16,+145.99
1093,3/16,+716.01
1094,8/2,-664.2
1095,2/12,-884.44
1096,6/1,-212.23
1097,2/17,-580.95
1098,5/7,-468.72
1099,5/13,-851.64
1100,7/4,-11.88
1101,3/14,+374.19
1102,6/18,+458.14
1103,2/8,+103.38
1104,6/14,-503.76
1105,5/15,-3.94
1106,9/12,-109.7
1107,11/17,+27.07
1108,7/3,-45.81
1109,9/12,+110.46
1110,5/16,+980.25
1111,1/11,+233.11
1112,7/17,-367.05
1113,7/4,+375.11
1114,8/11,+419.33
1115,5/13,+679.63
1116,6/10,-163.12
1117,1/15,-780.63
1118,3/16,-58.5
1119,10/15,+684.14
1120,4/16,-682.89
1121,7/12,-724.91
1122,9/17,+872.41
1123,3/15,-628.24
1124,5/9,+742.5
1125,11/7,+311.43
1126,6/7,+471.57
1127,8/19,+250.01
1128,9/15,+23.84
1129,5/10,-885.2
1130,6/3,+805.71
1131,1/13,-109.25
1132,6/10,-686.68
1133,10/13,+314.04
1134,8/14,+588.24
1135,10/7,+553.49
1136,3/6,+654.6
1137,3/1,+716.44
1138,10/14,-921.58
1139,2/19,-632.26
1140,9/10,-274.62
1141,4/17,-717.46
1142,10/9,+742.29
1143,4/9,+343.69
1144,3/9,+4.89
1145,11/6,+557.53
1146,11/16,-159.79
1147,2/9,+913.62
1148,10/6,-662.89
1149,4/6,+316.05
1150,2/5,+826.19
1151,10/5,+595.19
1152,9/18,+543.38
1153,5/13,+776.35
1154,5/16,-216.5
1155,1/19,+265.46
1156,6/8,-634.75
1157,7/5,+364.85
1158,10/3,+414.58
1159,2/5,+754.97
1160,11/13,+819.02
1161,4/15,-300.58
1162,5/8,+192.68
1163,4/3,+130.9
1164,8/6,+99.51
1165,8/16,+351.64
1166,2/10,-300.64
1167,3/11,-500.34
1168,11/17,-922.88
1169,9/5,+402.11
1170,3/1,-791.59
1171,1/13,-556.97
1172,1/1,-439.03
1173,1/7,+690.88
1174,8/3,+181.31
1175,9/10,+257.77
1176,8/7,-483.56
1177,1/19,-31.56
1178,5/10,-10.59
1179,2/12,+588.53
1180,3/16,+375.09
1181,7/13,-858.02
1182,10/17,-186.24
1183,11/10,+957.93
1184,6/15,+122.79
1185,8/11,+304.2
1186,4/3,+494.22
1187,10/13,-497.19
1188,2/16,+680.97
1189,2/9,+545.41
1190,8/11,-776.09
1191,6/2,-837.57
1192,1/5,-207.74
1193,3/9,+914.99
1194,1/7,-740.47
1195,7/12,-215.54
1196,10/5,-876.63
1197,9/16,+461.01
1198,10/2,+350.9
1199,4/18,-956.55
1200,10/13,+28.97
1201,7/14,-519.4
1202,10/14,+536.52
1203,7/13,-476.78
1204,6/14,+890.9
1205,5/6,+578.32
1206,10/12,+301.33
1207,2/9,-703.98
1208,9/8,-765.17
1209,8/10,-347.88
1210,2/17,+944.17
1211,2/4,+703.58
1212,3/3,-429.51
1213,5/8,+546.3
1214,2/14,-428.47
1215,6/11,+157.84
1216,6/9,-792.29
1217,3/18,+316.21
1218,7/19,-935.02
1219,4/8,-675.51
1220,2/12,+10.18
1221,4/16,-328.41
1222,8/19,+754.58
1223,4/10,+831.17
1224,11/16,-767.26
1225,9/18,+974.47
1226,2/1,-683.14
1227,1/12,+558.81
1228,3/18,+532.08
1229,8/6,-305.34
1230,7/1,+20.45
1231,5/15,-97.63
1232,2/2,+398.39
1233,4/1,+694.56
1234,10/2,+56.19
1235,4/14,-283.53
1236,2/11,-118.03
1237,9/9,+918.07
1238,3/4,+336.1
1239,6/17,-241.32
1240,11/14,+24.17
1241,8/3,+303.72
1242,3/3,-847.25
1243,4/12,+541.79
1244,6/18,+592.53
1245,9/10,-580.03
1246,9/5,+277.55
1247,8/19,+184.14
